u_name,count
HTI,68
IDN_SU,168
POL,386
USA_TX,233
ZMB,6
ARM,551
MOZ,14
CUB,19
JOR,149
FRA,2049
SOM,9
FSM,11
URY,29
CHL_NC,47
BOL,9
LBY,8
USA_NE,539
ITA,1748
PRT_IS,19
IND_SO,646
SEN,106
GTM,26
GUY,19
COM,17
QAT,2
BHS,2
USA_HA,30
PRY,7
,4265
ARE,31
CRI,15
AUS_WE,30
CND_BC,53
ERI,44
USA_GP,143
NPL,63
UGA,25
RUS_SO,118
CND_ON,373
CHN_NW,59
USA_SO,764
MEX_BC,1
AFG,23
PNG,3
RUS_EA,4
CND_PR,169
BLR,328
MNG,18
HUN,98
NZL,120
CND_QU,188
NOR,1117
IRQ,83
ARG_SO,15
VEN,22
BRA_NO,5
BRA_SE,73
FIN,145
SAU,63
BWA,9
CHN_SC,152
ALB,132
NIC,2
MYS_WE,390
USA_PN,145
MEX_BA,94
RUS_CE,31
MRT,34
PER,39
CAF,16
NLD,740
PAK,124
TUR,447
ARG_NO,20
MEX_NO,13
USA_MA,1327
CND_AT,16
AUT,375
ESP_ML,628
MAR,83
MDG,5
OMN,45
VNM,124
PAN,5
IDN_RE,14
PRK,21
KOR,201
GBR_SC,514
BRA_SO,20
ZAF,100
BTN,35
ISR,115
AUS_SO,365
PRT,240
BRA_NE,124
NAM,7
TUN,84
IRN,317
GRL,5
CYP,55
TWN,306
GRC_ML,259
USA_MW,899
COL,58
AIA,35
ROU,375
USA_SW,149
IND_NO,461
BRA_CW,9
ESP_BA,15
CND_NO,13
GRC_IS,37
AUS_NE,68
USA_AL,21
MEX_PC,44
KEN,13
LKA,213
MDV,9
RUS_WE,260
THA_NO,322
EST,268
LBN,161
MYS_BO,71
SLB,8
IRL,416
IDN_BA,14
FRA_CO,34
SWE,4410
HND,13
CHN_EA,184
SVN,247
CHN_SW,79
ESP_CA,26
PYF,16
ECU,16
USA_RM,127
USA_FL,227
THA_SO,8
USA_CA,560
KAZ,50
MMR,204
TCD,12
CHN_NE,30
IND_EA,208
DEU,1326
DZA,37
MEX_YU,5
UZB,38
IND_WE,215
ARG_CE,51
JPN,1801
CHN_NO,246
CHN_SE,180
SRB,279
TZA,7
KGZ,14
CHE,362
PHL,289
CZE,239
IND_NE,150
EGY,181
ISL,29
GBR_EN,6954
