u_name,count
HTI,80
IDN_SU,104
POL,115
USA_TX,346
ZMB,8
ARM,110
MOZ,6
JOR,19
CUB,8
FRA,351
SOM,4
FSM,7
BOL,13
CHL_NC,38
URY,16
LBY,8
USA_NE,363
ITA,259
PRT_IS,4
SEN,90
GTM,17
IND_SO,36
GUY,20
COM,13
QAT,27
USA_HA,10
PRY,20
,694
ARE,19
CRI,15
AUS_WE,26
CND_BC,69
ERI,11
USA_GP,215
NPL,6
UGA,10
RUS_SO,18
CND_ON,246
CHN_NW,7
USA_SO,969
MEX_BC,5
AFG,4
PNG,6
RUS_EA,5
CND_PR,110
BLR,143
MNG,5
HUN,89
NZL,85
CND_QU,111
NOR,105
IRQ,58
ARG_SO,6
VEN,31
BRA_NO,20
BRA_SE,114
FIN,77
SAU,25
BWA,5
CHN_SC,25
ALB,57
NIC,6
MYS_WE,75
USA_PN,252
MEX_BA,65
RUS_CE,30
MRT,19
CAF,60
PER,47
NLD,195
PAK,30
TUR,172
ARG_NO,18
MEX_NO,38
USA_MA,1049
CND_AT,6
AUT,62
ESP_ML,265
MAR,24
MDG,1
OMN,9
PAN,14
VNM,33
IDN_RE,12
KOR,114
PRK,17
GBR_SC,254
BRA_SO,35
ZAF,103
BTN,2
ISR,68
AUS_SO,351
PRT,88
BRA_NE,33
TUN,21
NAM,1
IRN,54
GRL,3
CYP,20
TWN,83
ATA,3
GRC_ML,88
USA_MW,957
COL,48
AIA,28
ROU,324
USA_SW,214
IND_NO,57
BRA_CW,22
ESP_BA,13
CND_NO,1
GRC_IS,7
AUS_NE,84
USA_AL,11
KEN,11
MEX_PC,35
LKA,13
MDV,2
LBN,39
THA_NO,140
EST,83
RUS_WE,104
MYS_BO,20
SLB,3
IRL,175
IDN_BA,4
SWE,234
FRA_CO,10
HND,39
SVN,93
CHN_EA,33
CHN_SW,5
ESP_CA,9
PYF,9
ECU,18
USA_RM,107
USA_FL,207
THA_SO,15
USA_CA,508
KAZ,37
MMR,17
TCD,4
CHN_NE,11
IND_EA,33
DEU,344
DZA,52
UZB,35
MEX_YU,12
ARG_CE,63
IND_WE,21
CHN_NO,55
JPN,403
SRB,157
CHN_SE,68
TZA,7
KGZ,8
CHE,78
PHL,70
CZE,143
IND_NE,96
EGY,36
ISL,18
GBR_EN,1396
