u_name,result
AIA,35
ALB,3
ARE,2
ARG_CE,82
ARM,106
AUS_SO,242
AUT,42
BLR,4
BOL,2
BRA_CW,253
BWA,7
CHE,189
CHL_NC,50
CHN_NO,8
CHN_SE,4
CND_ON,1603
COL,36
COM,13
CRI,59
CYP,10
CZE,32
DEU,86
ECU,9
EGY,2
ERI,1
ESP_ML,68
EST,1
FIN,9
FRA,261
FSM,14
GBR_EN,181
GRC_ML,52
GTM,13
HND,10
HTI,64
IDN_SU,14
IND_NO,28
IRL,7
IRN,19
ISL,34
ITA,272
JOR,9
JPN,77
KAZ,9
KEN,1
KGZ,12
KOR,57
LBN,75
MEX_BA,74
MNG,1
MYS_WE,32
NIC,1
NLD,61
NOR,134
NPL,28
NZL,520
PAN,8
PER,33
PHL,14
PNG,2
POL,2
PRT,54
PRY,7
PYF,5
ROU,97
RUS_WE,6
SEN,1
SRB,8
SVN,20
SWE,101
THA_NO,22
TUN,1
TUR,7
TWN,6
UGA,10
VEN,9
VNM,30
ZAF,95
ZMB,1
